Sr.No,FoodName,FoodPrice,Description,Category,Photos,Type
67,IB POTATO WEDGES 2.5KG,0,xyz,ISCON BALAJI FOOD,/uploads/67.jpg,Veg
68,IB PRM VEGGIE DECKER 1.2KG,0,xyz,ISCON BALAJI FOOD,/uploads/68.jpg,Veg
69,IB ROASTIES (HASH BROWN),0,xyz,ISCON BALAJI FOOD,/uploads/69.jpg,Veg
70,IB VEGGIE FINGER 1KG,0,xyz,ISCON BALAJI FOOD,/uploads/70.jpg,Veg
71,MM CHEESE BLOCK 1KG,0,xyz,MILKY MIST DAIRY,/uploads/71.jpg,Veg
72,MM CHEESE SLICE 765GM,0,xyz,MILKY MIST DAIRY,/uploads/72.jpg,Veg
73,MM MOZZ CHEESE BLEND 1KG,0,xyz,MILKY MIST DAIRY,/uploads/73.jpg,Veg
74,MM MOZZ DICED 1KG,0,xyz,MILKY MIST DAIRY,/uploads/74.jpg,Veg
75,MM MOZZARELLA BLEND 2KG,0,xyz,MILKY MIST DAIRY,/uploads/75.jpg,Veg
76,MM MOZZARELLA DICED 2KG,0,xyz,MILKY MIST DAIRY,/uploads/76.jpg,Veg
77,MM UHT CREAM 1LTR,0,xyz,MILKY MIST DAIRY,/uploads/77.jpg,Veg
78,NUTRALITE (1KG*16),0,xyz,NUTRALITE TABLE SPREAD,/uploads/78.jpg,Veg
79,NUTRALITE BLOCK 500GM,0,xyz,NUTRALITE TABLE SPREAD,/uploads/79.jpg,Veg
80,NUTRALITE CREAMYLICIOUS 500G,0,xyz,NUTRALITE TABLE SPREAD,/uploads/80.jpg,Veg
81,NUTRALITE DS PURE GHEE 1L,0,xyz,NUTRALITE TABLE SPREAD,/uploads/81.jpg,Veg
82,NUTRALITE MAYO LITE 1KG,0,xyz,NUTRALITE TABLE SPREAD,/uploads/82.jpg,Veg
83,NUTRALITE MAYONNAISE 1KG,0,xyz,NUTRALITE TABLE SPREAD,/uploads/83.jpg,Veg
84,SUGARFREE GOLD (1PKT*20),0,xyz,NUTRALITE TABLE SPREAD,/uploads/84.jpg,Veg
85,BABY CORN 450GM,0,xyz,TIN PRODUCTS,/uploads/85.jpg,Veg
86,BABY CORN IN BRINE 800GM,0,xyz,TIN PRODUCTS,/uploads/86.jpg,Veg
87,BLACK OLIVE SLICE 3KG,0,xyz,TIN PRODUCTS,/uploads/87.jpg,Veg
88,BLACK OLIVE SLICE 430GM,0,xyz,TIN PRODUCTS,/uploads/88.jpg,Veg
89,JALAPENO 3KG,0,xyz,TIN PRODUCTS,/uploads/89.jpg,Veg
90,JALAPENO 670GM,0,xyz,TIN PRODUCTS,/uploads/90.jpg,Veg
91,MASHROOM SLICE 800GM,0,xyz,TIN PRODUCTS,/uploads/91.jpg,Veg
92,PINAPPLE CHUNK 850GM,0,xyz,TIN PRODUCTS,/uploads/92.jpg,Veg
93,RED PAPRIKA SLICE 3.1KG,0,xyz,TIN PRODUCTS,/uploads/93.jpg,Veg
94,AMERICAN CORN,0,xyz,FROZEN VEGETABLES,/uploads/94.jpg,Veg
95,GREEN PEAS,0,xyz,FROZEN VEGETABLES,/uploads/95.jpg,Veg
96,FOODFEST MAYONNAISE 1KG,0,xyz,WIZZIE SAUCE,/uploads/96.jpg,Veg
97,FOODFEST SNACK DRESSING 1.2KG,0,xyz,WIZZIE SAUCE,/uploads/97.jpg,Veg
98,FOODFEST TOMATO KETCHUP 8G,0,xyz,WIZZIE SAUCE,/uploads/98.jpg,Veg
99,WIZZIE CHEESE JALEPENO 1KG,0,xyz,WIZZIE SAUCE,/uploads/99.jpg,Veg
100,WIZZIE CHEESE SPREAD N DIP 1KG,0,xyz,WIZZIE SAUCE,/uploads/100.jpg,Veg
